system_nr,disturbance,metaecosystem_type,ID_first_patch,ID_second_patch
16,low,Small-Small meta-ecosystem,16,17
17,low,Small-Small meta-ecosystem,18,19
18,low,Small-Small meta-ecosystem,20,21
19,low,Small-Small meta-ecosystem,22,23
20,low,Small-Small meta-ecosystem,24,25
21,low,Medium-Medium meta-ecosystem,26,27
22,low,Medium-Medium meta-ecosystem,28,29
23,low,Medium-Medium meta-ecosystem,30,31
24,low,Medium-Medium meta-ecosystem,32,33
25,low,Medium-Medium meta-ecosystem,34,35
26,low,Large-Large meta-ecosystem,36,37
27,low,Large-Large meta-ecosystem,38,39
28,low,Large-Large meta-ecosystem,40,41
29,low,Large-Large meta-ecosystem,42,43
30,low,Large-Large meta-ecosystem,44,45
31,low,Small-Large meta-ecosystem,46,47
32,low,Small-Large meta-ecosystem,48,49
33,low,Small-Large meta-ecosystem,50,51
34,low,Small-Large meta-ecosystem,52,53
35,low,Small-Large meta-ecosystem,54,55
51,high,Small-Small meta-ecosystem,71,72
52,high,Small-Small meta-ecosystem,73,74
53,high,Small-Small meta-ecosystem,75,76
54,high,Small-Small meta-ecosystem,77,78
55,high,Small-Small meta-ecosystem,79,80
56,high,Medium-Medium meta-ecosystem,81,82
57,high,Medium-Medium meta-ecosystem,83,84
58,high,Medium-Medium meta-ecosystem,85,86
59,high,Medium-Medium meta-ecosystem,87,88
60,high,Medium-Medium meta-ecosystem,89,90
61,high,Large-Large meta-ecosystem,91,92
62,high,Large-Large meta-ecosystem,93,94
63,high,Large-Large meta-ecosystem,95,96
64,high,Large-Large meta-ecosystem,97,98
65,high,Large-Large meta-ecosystem,99,100
66,high,Small-Large meta-ecosystem,101,102
67,high,Small-Large meta-ecosystem,103,104
68,high,Small-Large meta-ecosystem,105,106
69,high,Small-Large meta-ecosystem,107,108
70,high,Small-Large meta-ecosystem,109,110