system_nr,disturbance,metaecosystem_type,ID_first_patch,ID_second_patch
16,low,S_S,16,17
17,low,S_S,18,19
18,low,S_S,20,21
19,low,S_S,22,23
20,low,S_S,24,25
21,low,M_M,26,27
22,low,M_M,28,29
23,low,M_M,30,31
24,low,M_M,32,33
25,low,M_M,34,35
26,low,L_L,36,37
27,low,L_L,38,39
28,low,L_L,40,41
29,low,L_L,42,43
30,low,L_L,44,45
31,low,S_L,46,47
32,low,S_L,48,49
33,low,S_L,50,51
34,low,S_L,52,53
35,low,S_L,54,55
51,high,S_S,71,72
52,high,S_S,73,74
53,high,S_S,75,76
54,high,S_S,77,78
55,high,S_S,79,80
56,high,M_M,81,82
57,high,M_M,83,84
58,high,M_M,85,86
59,high,M_M,87,88
60,high,M_M,89,90
61,high,L_L,91,92
62,high,L_L,93,94
63,high,L_L,95,96
64,high,L_L,97,98
65,high,L_L,99,100
66,high,S_L,101,102
67,high,S_L,103,104
68,high,S_L,105,106
69,high,S_L,107,108
70,high,S_L,109,110