"id","A","B","C","D"
"1",7.5,5.25,1,1.25
"2",7.5,5.25,1,1.5
"3",7.5,5.25,1,0.5
"4",7.5,5.25,1,1
"5",7.5,5.25,1,1.5
"6",22.5,5.25,1,1.5
"7",22.5,5.25,1,0.75
"8",22.5,5.25,1,0.25
"9",22.5,5.25,1,1
"10",22.5,5.25,1,1.25
"11",37.5,5.25,1,2.25
"12",37.5,5.25,1,1.75
"13",37.5,5.25,1,1.25
"14",37.5,5.25,1,1.75
"15",37.5,5.25,1,1
"16",7.5,5.25,1,1
"17",7.5,5.25,1,1
"18",7.5,5.25,1,1.25
"19",7.5,5.25,1,0.75
"20",7.5,5.25,1,1
"21",7.5,5.25,1,1
"22",7.5,5.25,1,0.5
"23",7.5,5.25,1,1.25
"24",7.5,5.25,1,0.75
"25",7.5,5.25,1,1
"26",22.5,5.25,1,1.75
"27",22.5,5.25,1,2
"28",22.5,5.25,1,1.25
"29",22.5,5.25,1,1.25
"30",22.5,5.25,1,0.7
"31",22.5,5.25,1,1.25
"32",22.5,5.25,1,0.75
"33",22.5,5.25,1,1.5
"34",22.5,5.25,1,1.25
"35",22.5,5.25,1,1.25
"36",37.5,5.25,1,1
"37",37.5,5.25,1,1
"38",37.5,5.25,1,1
"39",37.5,5.25,1,0.5
"40",37.5,5.25,1,1.75
"41",37.5,5.25,1,1.25
"42",37.5,5.25,1,1.25
"43",37.5,5.25,1,1.75
"44",37.5,5.25,1,1.75
"45",37.5,5.25,1,1.75
"46",7.5,5.25,1,1
"47",37.5,5.25,1,1
"48",7.5,5.25,1,1.5
"49",37.5,5.25,1,1
"50",7.5,5.25,1,0.75
"51",37.5,5.25,1,1.5
"52",7.5,5.25,1,0.5
"53",37.5,5.25,1,0.75
"54",7.5,5.25,1,0.75
"55",37.5,5.25,1,1
"56",7.5,6.75,1,1.75
"57",7.5,6.75,1,1.75
"58",7.5,6.75,1,1.5
"59",7.5,6.75,1,1.25
"60",7.5,6.75,1,2.5
"61",22.5,6.75,1,1.25
"62",22.5,6.75,1,1
"63",22.5,6.75,1,1.25
"64",22.5,6.75,1,1.25
"65",22.5,6.75,1,1
"66",37.5,6.75,1,1.25
"67",37.5,6.75,1,0.75
"68",37.5,6.75,1,1.25
"69",37.5,6.75,1,1
"70",37.5,6.75,1,1
"71",7.5,6.75,1,1
"72",7.5,6.75,1,1.5
"73",7.5,6.75,1,1
"74",7.5,6.75,1,1.5
"75",7.5,6.75,1,1
"76",7.5,6.75,1,1.5
"77",7.5,6.75,1,1.25
"78",7.5,6.75,1,1.25
"79",7.5,6.75,1,1
"80",7.5,6.75,1,1.25
"81",22.5,6.75,1,0.75
"82",22.5,6.75,1,1.25
"83",22.5,6.75,1,0.75
"84",22.5,6.75,1,0.75
"85",22.5,6.75,1,1.5
"86",22.5,6.75,1,0.5
"87",22.5,6.75,1,0.75
"88",22.5,6.75,1,1.25
"89",22.5,6.75,1,1
"90",22.5,6.75,1,0.75
"91",37.5,6.75,1,1.25
"92",37.5,6.75,1,1.25
"93",37.5,6.75,1,1.25
"94",37.5,6.75,1,1.5
"95",37.5,6.75,1,1.25
"96",37.5,6.75,1,1
"97",37.5,6.75,1,1
"98",37.5,6.75,1,1
"99",37.5,6.75,1,1.25
"100",37.5,6.75,1,1
"101",7.5,6.75,1,1.25
"102",37.5,6.75,1,1.5
"103",7.5,6.75,1,1.1
"104",37.5,6.75,1,1.5
"105",7.5,6.75,1,1.25
"106",37.5,6.75,1,0.75
"107",7.5,6.75,1,1.25
"108",37.5,6.75,1,1
"109",7.5,6.75,1,1
"110",37.5,6.75,1,1.5
"1",7.5,5.25,2,1.25
"2",7.5,5.25,2,1.5
"3",7.5,5.25,2,0.5
"4",7.5,5.25,2,1
"5",7.5,5.25,2,1.5
"6",22.5,5.25,2,1.5
"7",22.5,5.25,2,0.75
"8",22.5,5.25,2,0.25
"9",22.5,5.25,2,1
"10",22.5,5.25,2,1.25
"11",37.5,5.25,2,2.25
"12",37.5,5.25,2,1.75
"13",37.5,5.25,2,1.25
"14",37.5,5.25,2,1.75
"15",37.5,5.25,2,1
"16",7.5,5.25,2,1
"17",7.5,5.25,2,1
"18",7.5,5.25,2,1.25
"19",7.5,5.25,2,0.75
"20",7.5,5.25,2,1
"21",7.5,5.25,2,1
"22",7.5,5.25,2,0.5
"23",7.5,5.25,2,1.25
"24",7.5,5.25,2,0.75
"25",7.5,5.25,2,1
"26",22.5,5.25,2,1.75
"27",22.5,5.25,2,2
"28",22.5,5.25,2,1.25
"29",22.5,5.25,2,1.25
"30",22.5,5.25,2,0.7
"31",22.5,5.25,2,1.25
"32",22.5,5.25,2,0.75
"33",22.5,5.25,2,1.5
"34",22.5,5.25,2,1.25
"35",22.5,5.25,2,1.25
"36",37.5,5.25,2,1
"37",37.5,5.25,2,1
"38",37.5,5.25,2,1
"39",37.5,5.25,2,0.5
"40",37.5,5.25,2,1.75
"41",37.5,5.25,2,1.25
"42",37.5,5.25,2,1.25
"43",37.5,5.25,2,1.75
"44",37.5,5.25,2,1.75
"45",37.5,5.25,2,1.75
"46",7.5,5.25,2,1
"47",37.5,5.25,2,1
"48",7.5,5.25,2,1.5
"49",37.5,5.25,2,1
"50",7.5,5.25,2,0.75
"51",37.5,5.25,2,1.5
"52",7.5,5.25,2,0.5
"53",37.5,5.25,2,0.75
"54",7.5,5.25,2,0.75
"55",37.5,5.25,2,1
"56",7.5,6.75,2,1.75
"57",7.5,6.75,2,1.75
"58",7.5,6.75,2,1.5
"59",7.5,6.75,2,1.25
"60",7.5,6.75,2,2.5
"61",22.5,6.75,2,1.25
"62",22.5,6.75,2,1
"63",22.5,6.75,2,1.25
"64",22.5,6.75,2,1.25
"65",22.5,6.75,2,1
"66",37.5,6.75,2,1.25
"67",37.5,6.75,2,0.75
"68",37.5,6.75,2,1.25
"69",37.5,6.75,2,1
"70",37.5,6.75,2,1
"71",7.5,6.75,2,1
"72",7.5,6.75,2,1.5
"73",7.5,6.75,2,1
"74",7.5,6.75,2,1.5
"75",7.5,6.75,2,1
"76",7.5,6.75,2,1.5
"77",7.5,6.75,2,1.25
"78",7.5,6.75,2,1.25
"79",7.5,6.75,2,1
"80",7.5,6.75,2,1.25
"81",22.5,6.75,2,0.75
"82",22.5,6.75,2,1.25
"83",22.5,6.75,2,0.75
"84",22.5,6.75,2,0.75
"85",22.5,6.75,2,1.5
"86",22.5,6.75,2,0.5
"87",22.5,6.75,2,0.75
"88",22.5,6.75,2,1.25
"89",22.5,6.75,2,1
"90",22.5,6.75,2,0.75
"91",37.5,6.75,2,1.25
"92",37.5,6.75,2,1.25
"93",37.5,6.75,2,1.25
"94",37.5,6.75,2,1.5
"95",37.5,6.75,2,1.25
"96",37.5,6.75,2,1
"97",37.5,6.75,2,1
"98",37.5,6.75,2,1
"99",37.5,6.75,2,1.25
"100",37.5,6.75,2,1
"101",7.5,6.75,2,1.25
"102",37.5,6.75,2,1.5
"103",7.5,6.75,2,1.1
"104",37.5,6.75,2,1.5
"105",7.5,6.75,2,1.25
"106",37.5,6.75,2,0.75
"107",7.5,6.75,2,1.25
"108",37.5,6.75,2,1
"109",7.5,6.75,2,1
"110",37.5,6.75,2,1.5
"1",7.5,5.25,3,2.5
"2",7.5,5.25,3,1.5
"3",7.5,5.25,3,2
"4",7.5,5.25,3,1
"5",7.5,5.25,3,1
"6",22.5,5.25,3,1
"7",22.5,5.25,3,2
"8",22.5,5.25,3,2.5
"9",22.5,5.25,3,2
"10",22.5,5.25,3,1
"11",37.5,5.25,3,2
"12",37.5,5.25,3,2.5
"13",37.5,5.25,3,1.5
"14",37.5,5.25,3,2.5
"15",37.5,5.25,3,2
"16",7.5,5.25,3,2
"17",7.5,5.25,3,2
"18",7.5,5.25,3,1
"19",7.5,5.25,3,1
"20",7.5,5.25,3,2
"21",7.5,5.25,3,1
"22",7.5,5.25,3,2
"23",7.5,5.25,3,3
"24",7.5,5.25,3,1
"25",7.5,5.25,3,2.5
"26",22.5,5.25,3,2.5
"27",22.5,5.25,3,2.5
"28",22.5,5.25,3,2
"29",22.5,5.25,3,1
"30",22.5,5.25,3,2
"31",22.5,5.25,3,1
"32",22.5,5.25,3,1
"33",22.5,5.25,3,1.5
"34",22.5,5.25,3,1
"35",22.5,5.25,3,1.5
"36",37.5,5.25,3,1.5
"37",37.5,5.25,3,1.5
"38",37.5,5.25,3,2
"39",37.5,5.25,3,2
"40",37.5,5.25,3,3
"41",37.5,5.25,3,1.5
"42",37.5,5.25,3,1.5
"43",37.5,5.25,3,2
"44",37.5,5.25,3,1
"45",37.5,5.25,3,2
"46",7.5,5.25,3,1.5
"47",37.5,5.25,3,1.5
"48",7.5,5.25,3,1.5
"49",37.5,5.25,3,1.5
"50",7.5,5.25,3,1
"51",37.5,5.25,3,0.5
"52",7.5,5.25,3,2
"53",37.5,5.25,3,1
"54",7.5,5.25,3,1.5
"55",37.5,5.25,3,2.5
"56",7.5,6.75,3,2.5
"57",7.5,6.75,3,2.5
"58",7.5,6.75,3,1.5
"59",7.5,6.75,3,2.5
"60",7.5,6.75,3,2
"61",22.5,6.75,3,1.5
"62",22.5,6.75,3,1.5
"63",22.5,6.75,3,2
"64",22.5,6.75,3,0.5
"65",22.5,6.75,3,1
"66",37.5,6.75,3,1
"67",37.5,6.75,3,1.5
"68",37.5,6.75,3,1.5
"69",37.5,6.75,3,1.5
"70",37.5,6.75,3,2.5
"71",7.5,6.75,3,2
"72",7.5,6.75,3,1.5
"73",7.5,6.75,3,1.5
"74",7.5,6.75,3,1.5
"75",7.5,6.75,3,2
"76",7.5,6.75,3,2
"77",7.5,6.75,3,1.5
"78",7.5,6.75,3,1.5
"79",7.5,6.75,3,1.5
"80",7.5,6.75,3,1
"81",22.5,6.75,3,1.5
"82",22.5,6.75,3,1
"83",22.5,6.75,3,1.5
"84",22.5,6.75,3,2
"85",22.5,6.75,3,1
"86",22.5,6.75,3,2.5
"87",22.5,6.75,3,1.5
"88",22.5,6.75,3,2
"89",22.5,6.75,3,1.5
"90",22.5,6.75,3,2
"91",37.5,6.75,3,2
"92",37.5,6.75,3,2
"93",37.5,6.75,3,1.5
"94",37.5,6.75,3,1
"95",37.5,6.75,3,1.5
"96",37.5,6.75,3,1
"97",37.5,6.75,3,2
"98",37.5,6.75,3,1.5
"99",37.5,6.75,3,2
"100",37.5,6.75,3,1
"101",7.5,6.75,3,1.5
"102",37.5,6.75,3,2
"103",7.5,6.75,3,2
"104",37.5,6.75,3,2
"105",7.5,6.75,3,2
"106",37.5,6.75,3,1.5
"107",7.5,6.75,3,2.5
"108",37.5,6.75,3,1.5
"109",7.5,6.75,3,2.5
"110",37.5,6.75,3,2
"1",7.5,5.25,4,1
"2",7.5,5.25,4,1
"3",7.5,5.25,4,1.5
"4",7.5,5.25,4,1
"5",7.5,5.25,4,1
"6",22.5,5.25,4,1
"7",22.5,5.25,4,1.5
"8",22.5,5.25,4,1
"9",22.5,5.25,4,1
"10",22.5,5.25,4,1.5
"11",37.5,5.25,4,1.5
"12",37.5,5.25,4,1
"13",37.5,5.25,4,1
"14",37.5,5.25,4,0.5
"15",37.5,5.25,4,1.5
"16",7.5,5.25,4,0.5
"17",7.5,5.25,4,0.5
"18",7.5,5.25,4,1
"19",7.5,5.25,4,1.5
"20",7.5,5.25,4,1
"21",7.5,5.25,4,0.5
"22",7.5,5.25,4,0.5
"23",7.5,5.25,4,1
"24",7.5,5.25,4,1
"25",7.5,5.25,4,0.5
"26",22.5,5.25,4,1
"27",22.5,5.25,4,0.5
"28",22.5,5.25,4,1
"29",22.5,5.25,4,1
"30",22.5,5.25,4,1
"31",22.5,5.25,4,1
"32",22.5,5.25,4,1
"33",22.5,5.25,4,1
"34",22.5,5.25,4,0.5
"35",22.5,5.25,4,1.5
"36",37.5,5.25,4,1
"37",37.5,5.25,4,1
"38",37.5,5.25,4,1
"39",37.5,5.25,4,1
"40",37.5,5.25,4,1
"41",37.5,5.25,4,1
"42",37.5,5.25,4,1
"43",37.5,5.25,4,1
"44",37.5,5.25,4,1
"45",37.5,5.25,4,1
"46",7.5,5.25,4,1
"47",37.5,5.25,4,1
"48",7.5,5.25,4,0.5
"49",37.5,5.25,4,1
"50",7.5,5.25,4,0.5
"51",37.5,5.25,4,1
"52",7.5,5.25,4,0.5
"53",37.5,5.25,4,1
"54",7.5,5.25,4,1
"55",37.5,5.25,4,1
"56",7.5,6.75,4,1.5
"57",7.5,6.75,4,1
"58",7.5,6.75,4,1
"59",7.5,6.75,4,1
"60",7.5,6.75,4,1
"61",22.5,6.75,4,1
"62",22.5,6.75,4,1
"63",22.5,6.75,4,1
"64",22.5,6.75,4,1
"65",22.5,6.75,4,1
"66",37.5,6.75,4,0.5
"67",37.5,6.75,4,1
"68",37.5,6.75,4,1
"69",37.5,6.75,4,1
"70",37.5,6.75,4,1
"71",7.5,6.75,4,1.5
"72",7.5,6.75,4,0.5
"73",7.5,6.75,4,1.5
"74",7.5,6.75,4,0.5
"75",7.5,6.75,4,1.5
"76",7.5,6.75,4,0.5
"77",7.5,6.75,4,1
"78",7.5,6.75,4,1
"79",7.5,6.75,4,1
"80",7.5,6.75,4,1
"81",22.5,6.75,4,1
"82",22.5,6.75,4,1
"83",22.5,6.75,4,1
"84",22.5,6.75,4,1
"85",22.5,6.75,4,1
"86",22.5,6.75,4,1
"87",22.5,6.75,4,1.5
"88",22.5,6.75,4,1.5
"89",22.5,6.75,4,2
"90",22.5,6.75,4,0.5
"91",37.5,6.75,4,1.5
"92",37.5,6.75,4,1
"93",37.5,6.75,4,1
"94",37.5,6.75,4,1.5
"95",37.5,6.75,4,1
"96",37.5,6.75,4,1.5
"97",37.5,6.75,4,1
"98",37.5,6.75,4,1.5
"99",37.5,6.75,4,1
"100",37.5,6.75,4,1
"101",7.5,6.75,4,1
"102",37.5,6.75,4,1
"103",7.5,6.75,4,1
"104",37.5,6.75,4,0.5
"105",7.5,6.75,4,1.5
"106",37.5,6.75,4,1
"107",7.5,6.75,4,0.5
"108",37.5,6.75,4,1
"109",7.5,6.75,4,1
"110",37.5,6.75,4,1.5
"1",7.5,5.25,5,1.5
"2",7.5,5.25,5,2
"3",7.5,5.25,5,1
"4",7.5,5.25,5,1.5
"5",7.5,5.25,5,1
"6",22.5,5.25,5,1.5
"7",22.5,5.25,5,1.5
"8",22.5,5.25,5,1.5
"9",22.5,5.25,5,1.5
"10",22.5,5.25,5,1.5
"11",37.5,5.25,5,1.5
"12",37.5,5.25,5,1.5
"13",37.5,5.25,5,1.5
"14",37.5,5.25,5,1.5
"15",37.5,5.25,5,1.5
"16",7.5,5.25,5,1
"17",7.5,5.25,5,1
"18",7.5,5.25,5,NA
"19",7.5,5.25,5,1.5
"20",7.5,5.25,5,1
"21",7.5,5.25,5,1
"22",7.5,5.25,5,1.5
"23",7.5,5.25,5,0.5
"24",7.5,5.25,5,1.5
"25",7.5,5.25,5,1.5
"26",22.5,5.25,5,1
"27",22.5,5.25,5,1.5
"28",22.5,5.25,5,1
"29",22.5,5.25,5,1.5
"30",22.5,5.25,5,1.5
"31",22.5,5.25,5,1.5
"32",22.5,5.25,5,0.5
"33",22.5,5.25,5,1.5
"34",22.5,5.25,5,1.5
"35",22.5,5.25,5,1
"36",37.5,5.25,5,1
"37",37.5,5.25,5,1
"38",37.5,5.25,5,1.5
"39",37.5,5.25,5,1.5
"40",37.5,5.25,5,1.5
"41",37.5,5.25,5,1.5
"42",37.5,5.25,5,1.5
"43",37.5,5.25,5,2
"44",37.5,5.25,5,1
"45",37.5,5.25,5,1
"46",7.5,5.25,5,1
"47",37.5,5.25,5,1.5
"48",7.5,5.25,5,1.5
"49",37.5,5.25,5,1.5
"50",7.5,5.25,5,1.5
"51",37.5,5.25,5,2
"52",7.5,5.25,5,1.5
"53",37.5,5.25,5,1.5
"54",7.5,5.25,5,1
"55",37.5,5.25,5,1
"56",7.5,6.75,5,1.5
"57",7.5,6.75,5,1.5
"58",7.5,6.75,5,1.5
"59",7.5,6.75,5,1
"60",7.5,6.75,5,1
"61",22.5,6.75,5,1.5
"62",22.5,6.75,5,2
"63",22.5,6.75,5,1
"64",22.5,6.75,5,1
"65",22.5,6.75,5,1.5
"66",37.5,6.75,5,1.5
"67",37.5,6.75,5,1.5
"68",37.5,6.75,5,1.5
"69",37.5,6.75,5,1.5
"70",37.5,6.75,5,1.5
"71",7.5,6.75,5,1
"72",7.5,6.75,5,1.5
"73",7.5,6.75,5,1
"74",7.5,6.75,5,1.5
"75",7.5,6.75,5,1
"76",7.5,6.75,5,1.5
"77",7.5,6.75,5,1.5
"78",7.5,6.75,5,1
"79",7.5,6.75,5,1.5
"80",7.5,6.75,5,1.5
"81",22.5,6.75,5,1.5
"82",22.5,6.75,5,1
"83",22.5,6.75,5,1.5
"84",22.5,6.75,5,1.5
"85",22.5,6.75,5,2
"86",22.5,6.75,5,1
"87",22.5,6.75,5,1
"88",22.5,6.75,5,1
"89",22.5,6.75,5,1
"90",22.5,6.75,5,1.5
"91",37.5,6.75,5,1
"92",37.5,6.75,5,1.5
"93",37.5,6.75,5,1.5
"94",37.5,6.75,5,1.5
"95",37.5,6.75,5,1
"96",37.5,6.75,5,1.5
"97",37.5,6.75,5,2
"98",37.5,6.75,5,1.5
"99",37.5,6.75,5,1.5
"100",37.5,6.75,5,2
"101",7.5,6.75,5,1.5
"102",37.5,6.75,5,1.5
"103",7.5,6.75,5,1.5
"104",37.5,6.75,5,2
"105",7.5,6.75,5,1
"106",37.5,6.75,5,2
"107",7.5,6.75,5,1.5
"108",37.5,6.75,5,2
"109",7.5,6.75,5,1.5
"110",37.5,6.75,5,1.5
"1",7.5,5.25,6,1.5
"2",7.5,5.25,6,1.5
"3",7.5,5.25,6,2
"4",7.5,5.25,6,1.5
"5",7.5,5.25,6,1.5
"6",22.5,5.25,6,1.5
"7",22.5,5.25,6,1
"8",22.5,5.25,6,1.5
"9",22.5,5.25,6,1
"10",22.5,5.25,6,1.5
"11",37.5,5.25,6,1.5
"12",37.5,5.25,6,1.5
"13",37.5,5.25,6,1.5
"14",37.5,5.25,6,1.5
"15",37.5,5.25,6,1.5
"16",7.5,5.25,6,1
"17",7.5,5.25,6,1
"18",7.5,5.25,6,1.5
"19",7.5,5.25,6,1
"20",7.5,5.25,6,1
"21",7.5,5.25,6,1.5
"22",7.5,5.25,6,0.5
"23",7.5,5.25,6,2
"24",7.5,5.25,6,0.5
"25",7.5,5.25,6,1
"26",22.5,5.25,6,0.5
"27",22.5,5.25,6,1.5
"28",22.5,5.25,6,1
"29",22.5,5.25,6,1
"30",22.5,5.25,6,1
"31",22.5,5.25,6,1.5
"32",22.5,5.25,6,1.5
"33",22.5,5.25,6,0.5
"34",22.5,5.25,6,1.5
"35",22.5,5.25,6,1.5
"36",37.5,5.25,6,1
"37",37.5,5.25,6,1.5
"38",37.5,5.25,6,1
"39",37.5,5.25,6,1.5
"40",37.5,5.25,6,1.5
"41",37.5,5.25,6,1.5
"42",37.5,5.25,6,1
"43",37.5,5.25,6,1.5
"44",37.5,5.25,6,1
"45",37.5,5.25,6,1
"46",7.5,5.25,6,1
"47",37.5,5.25,6,1.5
"48",7.5,5.25,6,1
"49",37.5,5.25,6,1
"50",7.5,5.25,6,1
"51",37.5,5.25,6,1.5
"52",7.5,5.25,6,1
"53",37.5,5.25,6,1
"54",7.5,5.25,6,1.5
"55",37.5,5.25,6,1.5
"56",7.5,6.75,6,2
"57",7.5,6.75,6,1.5
"58",7.5,6.75,6,2
"59",7.5,6.75,6,NA
"60",7.5,6.75,6,1.5
"61",22.5,6.75,6,1.5
"62",22.5,6.75,6,1
"63",22.5,6.75,6,1.5
"64",22.5,6.75,6,1.5
"65",22.5,6.75,6,1.5
"66",37.5,6.75,6,1.5
"67",37.5,6.75,6,0.5
"68",37.5,6.75,6,1.5
"69",37.5,6.75,6,1.5
"70",37.5,6.75,6,1.5
"71",7.5,6.75,6,1
"72",7.5,6.75,6,1
"73",7.5,6.75,6,1.5
"74",7.5,6.75,6,1.5
"75",7.5,6.75,6,1.5
"76",7.5,6.75,6,1.5
"77",7.5,6.75,6,1.5
"78",7.5,6.75,6,1.5
"79",7.5,6.75,6,1.5
"80",7.5,6.75,6,0.5
"81",22.5,6.75,6,1.5
"82",22.5,6.75,6,1.5
"83",22.5,6.75,6,1.5
"84",22.5,6.75,6,1
"85",22.5,6.75,6,1
"86",22.5,6.75,6,2
"87",22.5,6.75,6,1.5
"88",22.5,6.75,6,1.5
"89",22.5,6.75,6,1.5
"90",22.5,6.75,6,1.5
"91",37.5,6.75,6,1.5
"92",37.5,6.75,6,1.5
"93",37.5,6.75,6,1.5
"94",37.5,6.75,6,1.5
"95",37.5,6.75,6,2
"96",37.5,6.75,6,1.5
"97",37.5,6.75,6,1
"98",37.5,6.75,6,1.5
"99",37.5,6.75,6,1.5
"100",37.5,6.75,6,1.5
"101",7.5,6.75,6,1.5
"102",37.5,6.75,6,1
"103",7.5,6.75,6,1.5
"104",37.5,6.75,6,1.5
"105",7.5,6.75,6,1
"106",37.5,6.75,6,2.5
"107",7.5,6.75,6,1
"108",37.5,6.75,6,2
"109",7.5,6.75,6,1.5
"110",37.5,6.75,6,1.5
