"","file","date","time_point","culture_ID","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"54","sample_00054","03.05.22","t5",54,9.336,0.271395348837209,50463.14418,1466.95186569767,142.117416052786,61.0790137385292,46.1372271734606,4.59016729825615,573.332220331391,430.996051275625,481.872142857143,448.616135828644,0.250714285714286,0,0.118372093023256,0,0,0,0,0.0590697674418605,0.0397674418604651,0,0.0541860465116279,0
"55","sample_00055","03.05.22","t5",55,26.632,0.774186046511628,108772.98192,3162.00528837209,95.8723957675715,41.3643591250963,43.9724882700264,13.7781478344451,244.748260851046,194.729433252505,148.658461538462,160.816338910972,0.541025641025641,0.114883720930233,0.376744186046512,0.0225581395348837,0.0274418604651163,0.141860465116279,0.0290697674418605,0,0.0523255813953488,0.00930232558139535,0,0
"56","sample_00056","03.05.22","t5",56,1,0.0290697674418605,3099.02274,90.0878703488372,93.1021776,NA,42.0862716,NA,123.878,NA,3.67,NA,0.99,0,0.0290697674418605,0,0,0,0,0,0,0,0,0
"57","sample_00057","03.05.22","t5",57,0.672,0.0195348837209302,2494.36098,72.5104936046512,102.93885,13.9478479340745,44.9297959821428,1.77293703995846,96.390625,26.0208982023246,42.69,36.0624458405139,0.79,0,0.0195348837209302,0,0,0,0,0,0,0,0,0
"58","sample_00058","03.05.22","t5",58,1.96,0.0569767441860465,7046.64522,204.844337790698,98.0572268832377,16.3858583035025,44.1216193862881,4.52545531239103,97.6925613611195,14.9642509461916,25.9233333333333,22.6350046020171,0.73,0,0.0569767441860465,0,0,0,0,0,0,0,0,0
"59","sample_00059","03.05.22","t5",59,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"60","sample_00060","03.05.22","t5",60,1.224,0.0355813953488372,1666.62522,48.4484075581395,52.8514817193676,9.66019686362404,28.1748105025409,3.00962805033868,152.781064663185,50.8662519556088,18.6166666666667,8.4374719752621,1.13666666666667,0.00697674418604651,0.0286046511627907,0,0,0,0,0,0,0,0,0
"61","sample_00061","03.05.22","t5",61,6.2,0.180232558139535,36168.8247,1051.41932267442,118.961040774057,52.6282696197701,47.7367589913847,16.0328700454546,264.762869558878,264.43519634005,169.237272727273,201.560010125566,0.41,0.0251162790697674,0.076046511627907,0,0,0,0.00976744186046512,0.0290697674418605,0.0111627906976744,0,0.0290697674418605,0
"62","sample_00062","03.05.22","t5",62,9.656,0.280697674418605,34427.14164,1000.78900116279,83.1833878168575,43.652392061437,37.9295527293532,17.2639876258931,156.069031754253,54.1936904329892,93.5514285714286,82.4486518858993,0.513571428571429,0.0469767441860465,0.22906976744186,0,0,0,0,0,0,0.00465116279069767,0,0
"63","sample_00063","03.05.22","t5",63,13.424,0.390232558139535,73098.20052,2124.94768953488,118.653314082329,63.2249887838078,47.3489841749521,15.930621492853,257.258369483437,296.353822024165,171.376842105263,321.063151092544,0.668947368421053,0.0872093023255814,0.234186046511628,0.0213953488372093,0,0,0,0,0.00883720930232558,0.0258139534883721,0.0127906976744186,0
"64","sample_00064","03.05.22","t5",64,8.192,0.238139534883721,33389.45388,970.623659302326,103.513161740364,35.8201362833364,44.6817100832135,9.12759254929195,254.406717703389,272.659562361279,165.65,292.869429268403,0.573333333333333,0.0290697674418605,0.162790697674419,0.01,0,0.0290697674418605,0,0,0.0072093023255814,0,0,0
"65","sample_00065","03.05.22","t5",65,10.408,0.302558139534884,38251.81098,1111.9712494186,97.4149049669516,45.2940316938631,37.5835362213743,14.491627927572,237.841407418421,229.310663159683,177.778571428571,245.009850943469,0.555714285714286,0.083953488372093,0.148837209302326,0,0,0.0109302325581395,0,0,0.0209302325581395,0.00883720930232558,0.0290697674418605,0
"66","sample_00066","03.05.22","t5",66,13.448,0.39093023255814,51389.55738,1493.88248197674,100.389959676641,41.0661731809467,38.7883652605867,16.3507821910053,418.672361834677,342.426822483,334.920454545455,358.388983454693,0.493181818181818,0,0.00837209302325581,0,0,0.0946511627906977,0,0.0786046511627907,0.0104651162790698,0.129302325581395,0.0695348837209302,0
"67","sample_00067","03.05.22","t5",67,17.64,0.512790697674419,82276.2522,2391.75151744186,97.370534681807,47.1222950909705,44.8340293417767,13.6376329752483,265.212668330713,194.729372145239,106.387741935484,131.233907221919,0.719032258064516,0.0581395348837209,0.242790697674419,0.0455813953488372,0,0.0872093023255814,0,0.0290697674418605,0,0.0209302325581395,0.0290697674418605,0
"68","sample_00068","03.05.22","t5",68,19.44,0.565116279069767,102996.28386,2994.07801918605,111.506050960987,61.1838602323046,45.9734042806224,17.3712996534372,207.764631065392,131.933570470893,87.9965384615385,73.3060795264517,0.528461538461538,0.126744186046512,0.261395348837209,0,0.0134883720930233,0.0290697674418605,0.0290697674418605,0.0183720930232558,0.0290697674418605,0.0288372093023256,0.0290697674418605,0
"69","sample_00069","03.05.22","t5",69,34.08,0.990697674418605,137157.96744,3987.15021627907,101.156940358723,42.7521568969856,43.3416006992329,13.3525366822428,258.085503933582,188.539431065008,168.26625,140.278365927681,0.37625,0.132790697674419,0.584418604651163,0,0,0.124418604651163,0,0.0351162790697674,0.0572093023255814,0,0.0567441860465116,0
"70","sample_00070","03.05.22","t5",70,34.464,1.00186046511628,155303.20026,4514.62791453488,107.881457730044,42.9275567004123,43.7003278322669,13.2199956213567,243.569109477796,247.863525047432,149.9775,236.222810512412,0.534166666666667,0.21953488372093,0.578604651162791,0,0,0.0290697674418605,0,0.0353488372093023,0.0751162790697674,0.00604651162790698,0.0581395348837209,0
"71","sample_00071","03.05.22","t5",71,1,0.0290697674418605,3802.0995,110.526148255814,118.5479712,NA,41.0086152,NA,247.856,NA,135.12,NA,0.09,0,0.0290697674418605,0,0,0,0,0,0,0,0,0
"72","sample_00072","03.05.22","t5",72,4.256,0.123720930232558,17534.53494,509.724852906977,99.0294188175,39.9540790832816,40.750310655,17.1791347045573,144.192575,45.4559717834535,103.434,81.5670449998037,0.492,0,0.116279069767442,0,0,0,0,0,0,0.00744186046511628,0,0
"73","sample_00073","03.05.22","t5",73,2.376,0.0690697674418605,10790.74548,313.684461627907,108.069034289362,22.3105972435909,48.8959202297872,5.98864040347202,183.172921985816,12.6354319511731,117.046666666667,80.8207809497863,0.486666666666667,0,0.0690697674418605,0,0,0,0,0,0,0,0,0
"74","sample_00074","03.05.22","t5",74,3,0.0872093023255814,17332.32492,503.846654651163,129.9526416,33.9160877013101,54.5021028,13.5510040957355,395.440666666667,378.936339478458,255.05,317.394609752592,0.283333333333333,0,0.0581395348837209,0,0,0,0,0.0290697674418605,0,0,0,0
"75","sample_00075","03.05.22","t5",75,1.264,0.0367441860465116,6913.45692,200.972584883721,86.9407412727273,64.4746846448997,40.3251907090909,35.0904694327391,284.219666666667,250.155051598448,71.895,49.674251378355,1.03,0,0,0,0,0.0290697674418605,0,0,0,0.00767441860465116,0,0
"76","sample_00076","03.05.22","t5",76,1.68,0.0488372093023256,4989.11562,145.032430813954,87.0180823044372,8.31572764613139,41.9352341724462,2.84336339356897,165.787979705267,44.4539087138385,86.1725,81.6385559953139,0.495,0,0.0488372093023256,0,0,0,0,0,0,0,0,0
"77","sample_00077","03.05.22","t5",77,5.056,0.146976744186047,19322.8011,561.709334302326,89.2894865110033,41.3001537218645,39.9085368387333,17.5032670806721,208.29294486465,145.949479966632,50.85375,44.9307088550168,0.8375,0,0.0613953488372093,0,0,0,0.0290697674418605,0.0281395348837209,0,0.0283720930232558,0,0
"78","sample_00078","03.05.22","t5",78,1,0.0290697674418605,2513.91276,73.0788593023256,82.6086923999999,NA,38.5962408,NA,106.628,NA,7.39,NA,0.98,0,0.0290697674418605,0,0,0,0,0,0,0,0,0
"79","sample_00079","03.05.22","t5",79,2.24,0.0651162790697675,4709.61702,136.907471511628,56.9110427106732,38.0682618927166,26.9527015095224,13.6725512954021,139.232642544603,37.1945493019478,62.7975,70.1188511861587,0.9075,0.00744186046511628,0.0290697674418605,0,0,0,0,0,0,0.0286046511627907,0,0
"80","sample_00080","03.05.22","t5",80,3.056,0.0888372093023256,13502.40678,392.511825,122.390727963989,22.1282887542168,46.9023900244449,8.07815608694764,545.754067794821,632.577754665673,508.551666666667,642.79120091727,0.311666666666667,0,0.0683720930232558,0,0,0,0,0.0204651162790698,0,0,0,0
"81","sample_00081","03.05.22","t5",81,5.456,0.158604651162791,13545.44694,393.76299244186,77.9597509156054,48.1751444806564,33.6273273629187,14.8758236946102,352.170367085381,340.026241770109,289.205555555556,369.014878226851,0.575555555555556,0.0553488372093023,0.0597674418604651,0.0144186046511628,0,0,0,0.0227906976744186,0.00627906976744186,0,0,0
"82","sample_00082","03.05.22","t5",82,10.864,0.315813953488372,61884.13932,1798.95753837209,136.256662021404,38.3127673240497,52.617946833883,10.7267847673648,349.375413818219,279.079239033962,278.441538461538,286.82262767682,0.269230769230769,0.0827906976744186,0.132093023255814,0,0,0.027906976744186,0,0.0290697674418605,0.0290697674418605,0,0.0148837209302326,0
"83","sample_00083","03.05.22","t5",83,10.728,0.311860465116279,49752.45666,1446.29234476744,117.654553860997,47.3284624448593,47.9307743539642,12.0118507969859,402.317460795243,372.670863277595,309.045,350.801860871503,0.335833333333333,0.0581395348837209,0.174418604651163,0,0,0.0448837209302326,0,0,0.0344186046511628,0,0,0
"84","sample_00084","03.05.22","t5",84,12.216,0.355116279069767,59734.23084,1736.46019883721,111.657838000418,58.6459818414706,46.634655659227,13.9218867799596,258.674532619693,192.514935897977,100.544117647059,105.395258791538,0.704705882352941,0.037906976744186,0.162790697674419,0,0,0.0290697674418605,0,0.0293023255813953,0.0581395348837209,0.00883720930232558,0.0290697674418605,0
"85","sample_00085","03.05.22","t5",85,10.696,0.31093023255814,50216.97546,1459.79579825581,116.157785391672,41.6138122408499,46.8156776917978,12.4729818269729,379.921074802897,217.410582537679,278.739285714286,240.564617593511,0.410714285714286,0.0872093023255814,0.116279069767442,0.0134883720930233,0,0.0467441860465116,0,0,0.0181395348837209,0,0.0290697674418605,0
"86","sample_00086","03.05.22","t5",86,10.712,0.311395348837209,44851.91454,1303.834725,106.631206112746,48.2042740708512,42.1854221606786,15.1665359551659,266.18131192673,221.816030312925,198.015,213.623919315806,0.324285714285714,0.0893023255813954,0.152558139534884,0.0290697674418605,0.00581395348837209,0,0.01,0,0.0246511627906977,0,0,0
"87","sample_00087","03.05.22","t5",87,17.752,0.516046511627907,53150.26734,1545.06591104651,85.5087757568587,48.6882718157321,35.6595596166689,14.4073744900747,287.398429253286,270.740894661763,226.955238095238,260.148556014041,0.402857142857143,0.167906976744186,0.268139534883721,0,0,0,0,0.012093023255814,0.067906976744186,0,0,0
"88","sample_00088","03.05.22","t5",88,8.824,0.256511627906977,51297.30972,1491.20086395349,121.252234696465,79.9490761141303,46.003401168932,18.1132094298211,288.263856544331,193.50584467289,163.074166666667,174.159864464094,0.671666666666667,0.0581395348837209,0.0772093023255814,0,0,0.0683720930232558,0,0,0.0158139534883721,0.00790697674418605,0.0290697674418605,0
"89","sample_00089","03.05.22","t5",89,14.32,0.416279069767442,61621.83054,1791.33228313954,109.087609450674,43.9133982254785,43.6838438918281,16.1955030039354,388.190677135514,334.529550065016,228.352857142857,324.507971291043,0.471904761904762,0.00744186046511628,0.198372093023256,0,0.026046511627907,0.0290697674418605,0,0.06,0.0655813953488372,0.0297674418604651,0,0
"90","sample_00090","03.05.22","t5",90,24.104,0.700697674418605,102224.57904,2971.64473953488,106.698659081497,29.1707059484421,44.9294098541219,9.89916108192519,247.543172882576,190.053664351222,161.950285714286,174.405207769077,0.534285714285714,0.063953488372093,0.473023255813953,0.0304651162790698,0,0.0918604651162791,0,0,0.0223255813953488,0.00651162790697674,0.0125581395348837,0
"91","sample_00091","03.05.22","t5",91,23.464,0.682093023255814,116972.91972,3400.37557325581,126.671175408987,37.6666992035291,47.0798109868361,9.78686638009133,322.879562436586,318.874176336358,236.473666666667,316.594480570131,0.360666666666667,0.0802325581395349,0.384186046511628,0,0,0.0290697674418605,0,0.0290697674418605,0.0555813953488372,0,0.103953488372093,0
"92","sample_00092","03.05.22","t5",92,14.952,0.434651162790698,74799.07416,2174.39169069767,132.385780115255,51.0786035643692,48.9145372518654,13.6105140402667,271.502303135404,183.203502477393,197.098,177.108367706269,0.3385,0.101162790697674,0.150232558139535,0,0,0.0434883720930233,0.0581395348837209,0,0.0306976744186047,0,0.0509302325581395,0
"93","sample_00093","03.05.22","t5",93,13.12,0.381395348837209,68217.9975,1983.08132267442,110.507172195483,72.4222551695354,40.8429232336262,20.6872402369494,252.771699999525,167.90503416902,178.52,150.103278711692,0.23,0.224651162790698,0.0986046511627907,0.0290697674418605,0,0.0290697674418605,0,0,0,0,0,0
"94","sample_00094","03.05.22","t5",94,15.368,0.446744186046512,82113.93306,2387.0329377907,113.6644108931,58.661967061434,45.39501207232,17.2141875019322,250.393175402095,174.479741232977,160.9035,167.192466472027,0.451,0.21093023255814,0.101395348837209,0,0,0.0581395348837209,0.0290697674418605,0,0.0181395348837209,0,0.0290697674418605,0
"95","sample_00095","03.05.22","t5",95,21.696,0.630697674418605,134362.58778,3905.88917965116,135.69934700227,45.5905344855047,54.3517946927748,11.6373458120745,292.208646272899,163.110889116901,205.625517241379,140.47412246659,0.369310344827586,0.146976744186047,0.300232558139535,0.0290697674418605,0,0.0490697674418605,0,0.0288372093023256,0.0183720930232558,0,0.0581395348837209,0
"96","sample_00096","03.05.22","t5",96,10.96,0.318604651162791,67105.12068,1950.73025232558,133.898135312674,39.069829934574,54.3532342884614,7.58981120966354,395.274920944227,188.09701584845,222.345714285714,126.552059626086,0.360714285714286,0.145348837209302,0.0290697674418605,0.0125581395348837,0,0.087906976744186,0,0.0234883720930233,0.0202325581395349,0,0,0
"97","sample_00097","03.05.22","t5",97,25.664,0.746046511627907,179407.39572,5215.33127093023,124.360815634204,71.7523192941523,49.3594462623667,19.7623434070513,313.511538128468,250.816195313658,218.547894736842,248.479989831776,0.452894736842105,0.212790697674419,0.301395348837209,0.017906976744186,0,0.052093023255814,0,0.0113953488372093,0.0741860465116279,0.0355813953488372,0.0406976744186046,0
"98","sample_00098","03.05.22","t5",98,9.16,0.266279069767442,72734.06502,2114.36235523256,118.508985795706,168.81018609442,35.3363403787263,23.1623990140233,178.730106621511,103.115595337313,97.3884615384615,93.3253950653442,0.506153846153846,0.0786046511627907,0.10093023255814,0,0.0286046511627907,0,0,0.0290697674418605,0,0.0290697674418605,0,0
"99","sample_00099","03.05.22","t5",99,12.472,0.362558139534884,69917.03406,2032.47192034884,114.805262965221,63.7372278110087,43.8223627275232,18.2161387954654,339.444609392559,313.774374135331,227.831111111111,272.931124491766,0.412222222222222,0.171162790697674,0.125348837209302,0,0.00558139534883721,0.00651162790697674,0,0,0.053953488372093,0,0,0
"100","sample_00100","03.05.22","t5",100,15.04,0.437209302325581,65644.37964,1908.26685,103.699448267869,65.0992969101253,38.4756499532621,17.8183748994582,291.252563364702,291.983687360848,224.949444444444,306.378361113341,0.466666666666667,0.187674418604651,0.151395348837209,0,0.0288372093023256,0,0,0,0.0627906976744186,0.00651162790697674,0,0
"101","sample_00101","03.05.22","t5",101,4.664,0.135581395348837,20477.01222,595.261983139535,120.250676709877,46.5798391741048,46.53150031511,16.8936083755798,455.959600629058,360.393772552538,215.134285714286,196.336431485783,0.56,0,0.0653488372093023,0,0,0,0,0.0351162790697674,0.00930232558139535,0.0258139534883721,0,0
"102","sample_00102","03.05.22","t5",102,18.416,0.535348837209302,76947.14556,2236.83562674419,103.245825645384,60.2160383824255,42.7245471528829,16.4226283882976,241.337978864867,159.792503512234,154.42,149.877508594881,0.459166666666667,0.227441860465116,0.20953488372093,0.0251162790697674,0,0.0432558139534884,0,0,0.03,0,0,0
"103","sample_00103","03.05.22","t5",103,4.352,0.126511627906977,18370.93122,534.038698255814,102.400087182527,28.7872418562693,43.8471298886808,16.1445494916097,217.232030973714,211.666285505271,67.6833333333333,68.7544781571838,0.726666666666667,0,0.0858139534883721,0,0,0,0,0.0290697674418605,0,0.0116279069767442,0,0
"104","sample_00104","03.05.22","t5",104,19.696,0.572558139534884,59107.13046,1718.23053662791,80.9788507484565,49.6826183651283,36.1972125543827,16.6975787659453,196.235604916627,150.200474164641,102.526538461538,116.093352641478,0.557307692307692,0.137209302325581,0.256279069767442,0.0202325581395349,0.132558139534884,0.00953488372093023,0,0,0,0,0.0167441860465116,0
"105","sample_00105","03.05.22","t5",105,1.896,0.0551162790697674,8510.14188,247.387845348837,107.050315258929,9.72370641041485,52.7976535982143,9.75119258539064,150.100633928571,32.4072214849586,50.415,57.1554411233086,0.54,0,0.0551162790697674,0,0,0,0,0,0,0,0,0
"106","sample_00106","03.05.22","t5",106,9.696,0.281860465116279,36492.54444,1060.82978023256,117.74597003413,57.5522986263815,37.1384871693045,14.6212071680355,567.131099967592,431.883888288476,492.251875,447.384928180327,0.53375,0.0872093023255814,0,0,0,0.0118604651162791,0,0.0465116279069768,0.0434883720930233,0.0581395348837209,0.0346511627906977,0
"107","sample_00107","03.05.22","t5",107,5.136,0.149302325581395,28839.79404,838.366105813954,121.004978920718,45.5989370325313,48.1801290539613,17.0512386893915,412.03696537999,365.551796897934,187.115555555556,206.365430008947,0.718888888888889,0,0.0579069767441861,0,0,0,0,0.0688372093023256,0.0162790697674419,0.00627906976744186,0,0
"108","sample_00108","03.05.22","t5",108,4.8,0.13953488372093,23771.1591,691.022066860465,102.049490536221,62.2425931583552,38.9511509292343,20.6317401746586,229.630300364854,251.782729311674,143.482222222222,269.370145096751,0.846666666666667,0.0527906976744186,0.0304651162790698,0,0.0151162790697674,0,0,0,0.0327906976744186,0.00837209302325581,0,0
"109","sample_00109","03.05.22","t5",109,2.792,0.0811627906976744,11541.4551,335.507415697674,128.107033632709,18.0682497349078,47.7316136518227,6.18786517980277,757.340225722664,533.047774439212,665.704,551.203361863841,0.21,0,0.0581395348837209,0,0,0,0,0,0.0230232558139535,0,0,0
"110","sample_00110","03.05.22","t5",110,23.232,0.675348837209302,85764.99834,2493.16855639535,90.4577837522939,46.2513695176186,41.4308098019768,17.0439041931409,220.712929853939,174.580745964394,141.196875,162.016488516477,0.61125,0.126976744186047,0.273720930232558,0,0,0.0872093023255814,0.0290697674418605,0.0113953488372093,0.0446511627906977,0.0283720930232558,0.073953488372093,0
